Hidden Units,Optimizer,Learning Rate,Batch Size,Accuracy,Recall,Precision,ROC,F1 Score
"(128,)",sgd,0.001,8,78.1,57.1,32.2,0.692,41.2
"(128,)",sgd,0.001,16,78.9,57.1,33.3,0.697,42.1
"(128,)",sgd,0.001,32,76.2,51.0,28.4,0.655,36.5
"(128,)",sgd,0.0001,8,78.6,46.9,30.7,0.652,37.1
"(128,)",sgd,0.0001,16,78.9,42.9,30.0,0.637,35.3
"(128,)",sgd,0.0001,32,81.6,24.5,28.6,0.575,26.4
"(128,)",adam,0.001,8,83.6,40.8,39.2,0.655,40.0
"(128,)",adam,0.001,16,84.4,38.8,41.3,0.651,40.0
"(128,)",adam,0.001,32,84.1,46.9,41.8,0.684,44.2
"(128,)",adam,0.0001,8,85.2,46.9,45.1,0.69,46.0
"(128,)",adam,0.0001,16,84.7,51.0,43.9,0.704,47.2
"(128,)",adam,0.0001,32,85.5,57.1,46.7,0.735,51.4
"(64,)",sgd,0.001,8,78.1,53.1,31.3,0.675,39.4
"(64,)",sgd,0.001,16,77.5,59.2,31.9,0.698,41.4
"(64,)",sgd,0.001,32,78.4,61.2,33.3,0.711,43.2
"(64,)",sgd,0.0001,8,79.7,46.9,32.4,0.659,38.3
"(64,)",sgd,0.0001,16,80.3,40.8,31.7,0.636,35.7
"(64,)",sgd,0.0001,32,79.7,20.4,22.2,0.547,21.3
"(64,)",adam,0.001,8,84.1,51.0,42.4,0.701,46.3
"(64,)",adam,0.001,16,84.4,38.8,41.3,0.651,40.0
"(64,)",adam,0.001,32,85.8,46.9,46.9,0.694,46.9
"(64,)",adam,0.0001,8,85.2,59.2,46.0,0.742,51.8
"(64,)",adam,0.0001,16,87.1,63.3,51.7,0.77,56.9
"(64,)",adam,0.0001,32,85.2,63.3,46.3,0.759,53.4
"(32,)",sgd,0.001,8,77.8,57.1,31.8,0.691,40.9
"(32,)",sgd,0.001,16,78.6,59.2,33.3,0.704,42.6
"(32,)",sgd,0.001,32,79.7,57.1,34.6,0.702,43.1
"(32,)",sgd,0.0001,8,80.5,49.0,34.3,0.672,40.3
"(32,)",sgd,0.0001,16,82.2,36.7,34.6,0.63,35.6
"(32,)",sgd,0.0001,32,81.1,14.3,20.6,0.529,16.9
"(32,)",adam,0.001,8,84.7,40.8,42.6,0.661,41.7
"(32,)",adam,0.001,16,84.4,42.9,42.0,0.668,42.4
"(32,)",adam,0.001,32,84.4,46.9,42.6,0.686,44.7
"(32,)",adam,0.0001,8,83.8,53.1,41.9,0.708,46.8
"(32,)",adam,0.0001,16,83.8,57.1,42.4,0.726,48.7
"(32,)",adam,0.0001,32,83.6,61.2,42.3,0.741,50.0
"(16,)",sgd,0.001,8,76.7,59.2,30.9,0.693,40.6
"(16,)",sgd,0.001,16,77.0,59.2,31.2,0.695,40.8
"(16,)",sgd,0.001,32,75.9,55.1,29.0,0.671,38.0
"(16,)",sgd,0.0001,8,78.6,42.9,29.6,0.635,35.0
"(16,)",sgd,0.0001,16,80.0,28.6,26.9,0.583,27.7
"(16,)",sgd,0.0001,32,80.8,8.2,13.8,0.501,10.3
"(16,)",adam,0.001,8,82.7,44.9,37.9,0.668,41.1
"(16,)",adam,0.001,16,84.1,46.9,41.8,0.684,44.2
"(16,)",adam,0.001,32,82.7,44.9,37.9,0.668,41.1
"(16,)",adam,0.0001,8,84.9,57.1,45.2,0.732,50.5
"(16,)",adam,0.0001,16,83.6,59.2,42.0,0.733,49.2
"(16,)",adam,0.0001,32,84.9,63.3,45.6,0.758,53.0
"(8,)",sgd,0.001,8,75.3,59.2,29.3,0.685,39.2
"(8,)",sgd,0.001,16,77.8,59.2,32.2,0.699,41.7
"(8,)",sgd,0.001,32,78.4,55.1,32.1,0.685,40.6
"(8,)",sgd,0.0001,8,83.6,12.2,26.1,0.534,16.7
"(8,)",sgd,0.0001,16,82.5,2.0,5.9,0.485,3.0
"(8,)",sgd,0.0001,32,83.3,2.0,7.1,0.49,3.2
"(8,)",adam,0.001,8,82.7,49.0,38.7,0.685,43.2
"(8,)",adam,0.001,16,82.7,59.2,40.3,0.728,47.9
"(8,)",adam,0.001,32,81.9,59.2,38.7,0.723,46.8
"(8,)",adam,0.0001,8,83.6,61.2,42.3,0.741,50.0
"(8,)",adam,0.0001,16,82.7,65.3,41.0,0.754,50.4
"(8,)",adam,0.0001,32,84.9,67.3,45.8,0.775,54.5
"(4,)",sgd,0.001,8,86.3,0.0,0.0,0.498,0.0
"(4,)",sgd,0.001,16,86.6,0.0,0.0,0.5,0.0
"(4,)",sgd,0.001,32,86.6,0.0,0.0,0.5,0.0
"(4,)",sgd,0.0001,8,86.6,0.0,0.0,0.5,0.0
"(4,)",sgd,0.0001,16,86.6,0.0,0.0,0.5,0.0
"(4,)",sgd,0.0001,32,86.6,0.0,0.0,0.5,0.0
"(4,)",adam,0.001,8,83.6,63.3,42.5,0.75,50.8
"(4,)",adam,0.001,16,84.7,65.3,45.1,0.765,53.3
"(4,)",adam,0.001,32,84.9,65.3,45.7,0.766,53.8
"(4,)",adam,0.0001,8,84.9,71.4,46.1,0.792,56.0
"(4,)",adam,0.0001,16,84.7,71.4,45.5,0.791,55.6
"(4,)",adam,0.0001,32,83.8,71.4,43.8,0.786,54.3
"(2,)",sgd,0.001,8,86.6,0.0,0.0,0.5,0.0
"(2,)",sgd,0.001,16,86.6,0.0,0.0,0.5,0.0
"(2,)",sgd,0.001,32,86.6,0.0,0.0,0.5,0.0
"(2,)",sgd,0.0001,8,86.6,0.0,0.0,0.5,0.0
"(2,)",sgd,0.0001,16,86.6,0.0,0.0,0.5,0.0
"(2,)",sgd,0.0001,32,86.6,0.0,0.0,0.5,0.0
"(2,)",adam,0.001,8,86.3,63.3,49.2,0.766,55.4
"(2,)",adam,0.001,16,86.0,65.3,48.5,0.773,55.7
"(2,)",adam,0.001,32,85.5,67.3,47.1,0.778,55.5
"(2,)",adam,0.0001,8,86.8,69.4,50.7,0.795,58.6
"(2,)",adam,0.0001,16,87.1,69.4,51.5,0.796,59.1
"(2,)",adam,0.0001,32,86.3,69.4,49.3,0.792,57.6
"(128, 64)",sgd,0.001,8,82.5,40.8,36.4,0.649,38.5
"(128, 64)",sgd,0.001,16,82.5,46.9,37.7,0.675,41.8
"(128, 64)",sgd,0.001,32,81.9,55.1,38.0,0.706,45.0
"(128, 64)",sgd,0.0001,8,75.6,61.2,30.0,0.695,40.3
"(128, 64)",sgd,0.0001,16,77.3,59.2,31.5,0.696,41.1
"(128, 64)",sgd,0.0001,32,80.5,32.7,29.6,0.603,31.1
"(128, 64)",adam,0.001,8,82.5,34.7,34.7,0.623,34.7
"(128, 64)",adam,0.001,16,85.2,42.9,44.7,0.673,43.8
"(128, 64)",adam,0.001,32,85.2,44.9,44.9,0.682,44.9
"(128, 64)",adam,0.0001,8,84.4,44.9,42.3,0.677,43.6
"(128, 64)",adam,0.0001,16,84.4,44.9,42.3,0.677,43.6
"(128, 64)",adam,0.0001,32,84.4,42.9,42.0,0.668,42.4
"(64, 32)",sgd,0.001,8,79.5,32.7,27.6,0.597,29.9
"(64, 32)",sgd,0.001,16,80.3,51.0,34.2,0.679,41.0
"(64, 32)",sgd,0.001,32,79.5,55.1,33.8,0.692,41.9
"(64, 32)",sgd,0.0001,8,75.3,59.2,29.3,0.685,39.2
"(64, 32)",sgd,0.0001,16,77.8,46.9,29.5,0.648,36.2
"(64, 32)",sgd,0.0001,32,80.5,26.5,27.1,0.577,26.8
"(64, 32)",adam,0.001,8,83.8,36.7,39.1,0.639,37.9
"(64, 32)",adam,0.001,16,83.6,30.6,36.6,0.612,33.3
"(64, 32)",adam,0.001,32,83.3,42.9,38.9,0.662,40.8
"(64, 32)",adam,0.0001,8,83.6,40.8,39.2,0.655,40.0
"(64, 32)",adam,0.0001,16,84.9,40.8,43.5,0.663,42.1
"(64, 32)",adam,0.0001,32,83.0,42.9,38.2,0.66,40.4
"(32, 16)",sgd,0.001,8,78.6,46.9,30.7,0.652,37.1
"(32, 16)",sgd,0.001,16,80.0,51.0,33.8,0.678,40.7
"(32, 16)",sgd,0.001,32,78.9,55.1,32.9,0.688,41.2
"(32, 16)",sgd,0.0001,8,76.7,55.1,30.0,0.676,38.8
"(32, 16)",sgd,0.0001,16,80.3,46.9,33.3,0.662,39.0
"(32, 16)",sgd,0.0001,32,84.1,24.5,36.4,0.589,29.3
"(32, 16)",adam,0.001,8,84.9,40.8,43.5,0.663,42.1
"(32, 16)",adam,0.001,16,86.6,44.9,50.0,0.69,47.3
"(32, 16)",adam,0.001,32,82.5,40.8,36.4,0.649,38.5
"(32, 16)",adam,0.0001,8,86.3,49.0,49.0,0.705,49.0
"(32, 16)",adam,0.0001,16,84.9,51.0,44.6,0.706,47.6
"(32, 16)",adam,0.0001,32,85.2,51.0,45.5,0.708,48.1
"(16, 8)",sgd,0.001,8,78.1,49.0,30.4,0.658,37.5
"(16, 8)",sgd,0.001,16,80.3,55.1,35.1,0.696,42.9
"(16, 8)",sgd,0.001,32,76.7,57.1,30.4,0.684,39.7
"(16, 8)",sgd,0.0001,8,76.7,51.0,29.1,0.659,37.0
"(16, 8)",sgd,0.0001,16,80.0,24.5,25.0,0.565,24.7
"(16, 8)",sgd,0.0001,32,83.3,0.0,0.0,0.481,0.0
"(16, 8)",adam,0.001,8,85.2,46.9,45.1,0.69,46.0
"(16, 8)",adam,0.001,16,84.4,44.9,42.3,0.677,43.6
"(16, 8)",adam,0.001,32,84.1,40.8,40.8,0.658,40.8
"(16, 8)",adam,0.0001,8,83.0,51.0,39.7,0.695,44.6
